Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
alibaba/happy-horse/image-to-video,Alibaba Happy Horse,Alibaba,image-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s","720p, 1080p",inherits input image,Yes — native generation,Yes,No,No — single shot,generate,Yes — dialogue/lipsync supported,Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-horse/reference-to-video,Alibaba Happy Horse,Alibaba,image-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s","720p, 1080p","16:9, 9:16, 1:1, 4:3, 3:4",Yes — native generation,Yes (multi-image / reference),No,No — single shot,generate,Yes — dialogue via prompt (native audio),Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-horse/text-to-video,Alibaba Happy Horse,Alibaba,text-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s","720p, 1080p","16:9, 9:16, 1:1, 4:3, 3:4",Yes — native generation,No (text-only),No,No — single shot,generate,No,Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-horse/v1.1/image-to-video,Alibaba Happy Horse,Alibaba,image-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s","720p, 1080p",inherits input image,Yes — native generation,Yes,No,No — single shot,generate,Yes — dialogue/lipsync supported,Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-horse/v1.1/reference-to-video,Alibaba Happy Horse,Alibaba,image-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s","720p, 1080p","16:9, 9:16, 1:1, 4:3, 3:4, 21:9, 9:21, 5:4, 4:5",Yes — native generation,Yes (multi-image / reference),No,No — single shot,generate,Yes — dialogue/lipsync supported,Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-horse/v1.1/text-to-video,Alibaba Happy Horse,Alibaba,text-to-video,8.4,$0.14/s x 60s,360,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 (+1) s","720p, 1080p","16:9, 9:16, 1:1, 4:3, 3:4, 21:9, 9:21, 5:4, 4:5",Yes — native generation,No (text-only),No,No — single shot,generate,Yes — dialogue/lipsync supported,Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-horse/video-edit,Alibaba Happy Horse,Alibaba,video-to-video,8.4,$0.14/s x 60s,,fixed / not exposed,"720p, 1080p",fixed,No,No,No,No — single shot,edit/restyle,No,Arena-topping quality — #1 T2V and I2V Elo on Artificial Analysis (Apr 2026); single-pass audio+video with native lip-sync in 7 languages; up to 9 reference images on v1.1. Built by Taotian's Future Life Lab under a former Kling tech lead.,"No multi-shot or start/end-frame control, 1080p ceiling, and a young ecosystem — few third-party workflows exist yet.","General-purpose spots at arena-topping quality, multilingual lip-synced dialogue (7 languages) for global ad variants, multi-reference composites on v1.1.","Shot-by-shot directed narratives (no multi-shot control), 4K masters, teams needing mature tooling."
alibaba/happy-oyster,Alibaba Happy Oyster,Alibaba,video-to-video,0.84,"$0.014/s streaming x 60s, plus $2.00 per world creation",,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,No,"Realtime interactive world model — generate a world from a prompt, then explore or direct it as live video; streams at $0.014/s after a $2 world-creation fee.","Interactive-first: not a clip renderer, and quality is traded for realtime latency.","Playable world demos, interactive installations, game-style previz.","Deliverable video files, precise shot control."
fal-ai/fast-animatediff/text-to-video,AnimateDiff,,text-to-video,,billed per GPU compute-second (varies with runtime),32,0.1–4.0 s (via num_frames),video_size presets,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",No,No (text-only),No,No — single shot,generate,No,Cheap stylized/anime motion with a turbo tier; strong LoRA compatibility.,"Very short, low resolution, flickery — a 2023-era pipeline.","Anime/stylized loops riding SD LoRA ecosystems, retro-pipeline compatibility.",Coherent modern-quality clips.
fal-ai/fast-animatediff/turbo/text-to-video,AnimateDiff,,text-to-video,,billed per GPU compute-second (varies with runtime),32,0.1–4.0 s (via num_frames),video_size presets,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",No,No (text-only),No,No — single shot,generate,No,Cheap stylized/anime motion with a turbo tier; strong LoRA compatibility.,"Very short, low resolution, flickery — a 2023-era pipeline.","Anime/stylized loops riding SD LoRA ecosystems, retro-pipeline compatibility.",Coherent modern-quality clips.
fal-ai/fast-animatediff/turbo/video-to-video,AnimateDiff,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,No,Cheap stylized/anime motion with a turbo tier; strong LoRA compatibility.,"Very short, low resolution, flickery — a 2023-era pipeline.","Anime/stylized loops riding SD LoRA ecosystems, retro-pipeline compatibility.",Coherent modern-quality clips.
fal-ai/fast-animatediff/video-to-video,AnimateDiff,,video-to-video,,billed per GPU compute-second (varies with runtime),,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,edit/restyle,No,Cheap stylized/anime motion with a turbo tier; strong LoRA compatibility.,"Very short, low resolution, flickery — a 2023-era pipeline.","Anime/stylized loops riding SD LoRA ecosystems, retro-pipeline compatibility.",Coherent modern-quality clips.
argil/avatars/text-to-video,Argil,Argil AI,text-to-video,1.35,$0.0225/s x 60s,,follows script length,fixed,fixed,Input only (drives lipsync),No (text-only),No,No — single shot,generate,Yes — dedicated lipsync/avatar model,"Avatar videos generated straight from text with a natural, non-uncanny feel.",Closed avatar library; little control over framing or scene.,"Script-to-UGC ads without filming, product-marketing explainers.",Custom framing or scene control.
fal-ai/ben/v2/video,BEN video,,video-to-video,1.33,$0.001/MP x 0.9216 MP/frame x 24fps x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,inpaint/erase,No,High-quality temporally smooth background removal.,Matting only; $1.33/min.,Talking-head compositing where edge stability matters.,Anything generative.
fal-ai/bernini-r/edit-video,Bernini-R,Bytedance,video-to-video,4.8,$0.08/s x 60s,121,0.3–7.6 s (via num_frames),fixed,fixed,No,No,No,No — single shot,edit/restyle,No,"Open-weights renderer (fine-tuned from Wan) whose editing quality reaches the first tier of commercial closed models — style transfer, watermark/subtitle removal, local edits, reference-guided variants.","Renderer-only: skips the semantic planner, so complex instructions and from-scratch human generation lag; no audio.","Video restyle and style transfer, watermark/subtitle removal, local region edits, reference-guided edit variants — open-weights editing at commercial-tier quality.","From-scratch human-centric generation (the renderer-only variant lags there), audio work."
fal-ai/bernini-r/reference-edit-video,Bernini-R,Bytedance,video-to-video,4.8,$0.08/s x 60s,121,0.3–7.6 s (via num_frames),fixed,fixed,No,No,No,No — single shot,edit/restyle,No,"Open-weights renderer (fine-tuned from Wan) whose editing quality reaches the first tier of commercial closed models — style transfer, watermark/subtitle removal, local edits, reference-guided variants.","Renderer-only: skips the semantic planner, so complex instructions and from-scratch human generation lag; no audio.","Video restyle and style transfer, watermark/subtitle removal, local region edits, reference-guided edit variants — open-weights editing at commercial-tier quality.","From-scratch human-centric generation (the renderer-only variant lags there), audio work."
fal-ai/bernini-r/reference-to-video,Bernini-R,Bytedance,image-to-video,4.8,$0.08/s x 60s,121,0.3–7.6 s (via num_frames),fixed,"16:9, 9:16, 1:1",No,No,No,No — single shot,generate,No,"Open-weights renderer (fine-tuned from Wan) whose editing quality reaches the first tier of commercial closed models — style transfer, watermark/subtitle removal, local edits, reference-guided variants.","Renderer-only: skips the semantic planner, so complex instructions and from-scratch human generation lag; no audio.","Video restyle and style transfer, watermark/subtitle removal, local region edits, reference-guided edit variants — open-weights editing at commercial-tier quality.","From-scratch human-centric generation (the renderer-only variant lags there), audio work."
fal-ai/bernini-r/text-to-video,Bernini-R,Bytedance,text-to-video,4.8,$0.08/s x 60s,121,0.3–7.6 s (via num_frames),fixed,"16:9, 9:16, 1:1",No,No (text-only),No,No — single shot,generate,No,"Open-weights renderer (fine-tuned from Wan) whose editing quality reaches the first tier of commercial closed models — style transfer, watermark/subtitle removal, local edits, reference-guided variants.","Renderer-only: skips the semantic planner, so complex instructions and from-scratch human generation lag; no audio.","Video restyle and style transfer, watermark/subtitle removal, local region edits, reference-guided edit variants — open-weights editing at commercial-tier quality.","From-scratch human-centric generation (the renderer-only variant lags there), audio work."
bytedance/lynx,ByteDance Lynx,Bytedance,image-to-video,36.0,$0.6/s x 60s,81,0.6–5.1 s (via num_frames),"480p, 580p, 720p","16:9, 9:16, 1:1",No,Yes,No,No — single shot,generate,Yes — dedicated lipsync/avatar model,Very strong subject consistency from a single reference image.,"Single endpoint, minimal controls, short output.","Identity-locked recurring characters from one photo — brand mascots, virtual influencers.","Cost-efficient volume ($36/min is the platform's priciest), general scenes without a locked subject."
cassetteai/video-sound-effects-generator,CassetteAI SFX,Cassette AI,video-to-video,0.2,$0.2/min,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,video→audio,No,Cheap video-to-SFX at $0.20/min.,Loop-grade quality.,Bulk sound passes on social content.,Film-grade foley.
fal-ai/cogvideox-5b,CogVideoX,,text-to-video,2.4,$0.2 per 5s video -> x60,49,~6 s (49 frames @8fps),video_size presets,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",No,No (text-only),No,No — single shot,generate,No,"Fully open 5B weights, easy to self-host, decent prompt following for its size.","8fps output, 49-frame cap, obsolete quality.","Academic baselines, full-weights LoRA experiments.",Production of any kind.
fal-ai/cogvideox-5b/image-to-video,CogVideoX,,image-to-video,2.4,$0.2 per 5s video -> x60,49,~6 s (49 frames @8fps),video_size presets,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",No,Yes,No,No — single shot,generate,No,"Fully open 5B weights, easy to self-host, decent prompt following for its size.","8fps output, 49-frame cap, obsolete quality.","Academic baselines, full-weights LoRA experiments.",Production of any kind.
fal-ai/cogvideox-5b/video-to-video,CogVideoX,,video-to-video,2.4,$0.2 per 5s video -> x60,,fixed / not exposed,video_size presets,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",No,No,No,No — single shot,edit/restyle,No,"Fully open 5B weights, easy to self-host, decent prompt following for its size.","8fps output, 49-frame cap, obsolete quality.","Academic baselines, full-weights LoRA experiments.",Production of any kind.
fal-ai/controlfoley,ControlFoley,,video-to-video,0.12,$0.002/s x 60s,,fixed / not exposed,fixed,fixed,No,No,No,No — single shot,video→audio,Yes — dialogue via prompt (native audio),Text-shaped foley — the prompt steers the type of sound while timing follows the action on screen.,No published schema on fal; sparse docs.,Directed sound design where you want a specific character of sound.,Music scoring.
