Endpoint,Family,Lab,Type,USD/min output,Price basis,Max duration s,Duration options,Voices,Languages,Voice clone?,Lyrics?,Audio input?,Output formats,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/ace-step,ACE-Step,,music,0.012,$0.0002/s x 60,240,5–240 s,—,—,No,Yes,No,default,"Open-source music foundation model: 4 min of music in ~20s on an A100, lyric-aligned composition, voice-clone/remix/lyric2vocal controls; 1.5 tops open benchmarks.",Vocal realism still trails Suno-class closed models; you supply the lyrics.,"Full-length structured songs with vocals, remix/cover experiments, local music pipelines.","Radio-ready vocal polish, hands-off lyric writing."
fal-ai/ace-step/audio-inpaint,ACE-Step,,a2a,0.012,$0.0002/s x 60,,follows input audio,—,—,No,Yes,Yes,default,"Open-source music foundation model: 4 min of music in ~20s on an A100, lyric-aligned composition, voice-clone/remix/lyric2vocal controls; 1.5 tops open benchmarks.",Vocal realism still trails Suno-class closed models; you supply the lyrics.,"Full-length structured songs with vocals, remix/cover experiments, local music pipelines.","Radio-ready vocal polish, hands-off lyric writing."
fal-ai/ace-step/audio-outpaint,ACE-Step,,a2a,0.012,$0.0002/s x 60,,follows input audio,—,—,No,Yes,Yes,default,"Open-source music foundation model: 4 min of music in ~20s on an A100, lyric-aligned composition, voice-clone/remix/lyric2vocal controls; 1.5 tops open benchmarks.",Vocal realism still trails Suno-class closed models; you supply the lyrics.,"Full-length structured songs with vocals, remix/cover experiments, local music pipelines.","Radio-ready vocal polish, hands-off lyric writing."
fal-ai/ace-step/audio-to-audio,ACE-Step,,a2a,0.012,$0.0002/s x 60,,follows input audio,—,—,No,Yes,Yes,default,"Open-source music foundation model: 4 min of music in ~20s on an A100, lyric-aligned composition, voice-clone/remix/lyric2vocal controls; 1.5 tops open benchmarks.",Vocal realism still trails Suno-class closed models; you supply the lyrics.,"Full-length structured songs with vocals, remix/cover experiments, local music pipelines.","Radio-ready vocal polish, hands-off lyric writing."
fal-ai/ace-step/prompt-to-audio,ACE-Step,,music,0.012,$0.0002/s x 60,240,5–240 s,—,—,No,No,No,default,"Open-source music foundation model: 4 min of music in ~20s on an A100, lyric-aligned composition, voice-clone/remix/lyric2vocal controls; 1.5 tops open benchmarks.",Vocal realism still trails Suno-class closed models; you supply the lyrics.,"Full-length structured songs with vocals, remix/cover experiments, local music pipelines.","Radio-ready vocal polish, hands-off lyric writing."
async/tts-pro/v1.0,Async TTS,Async,tts,0.0075,$0.01/1k chars x ~750 chars/min speech,,follows text length,voice prop,6 languages,No,No,No,default,Pro TTS tier from Async.,Thin public evals.,Testing.,Committed pipelines.
fal-ai/audio-understanding,Audio understanding,,a2a,0.12,$0.01/5s -> x60,,follows input audio,—,—,No,No,Yes,default,Audio QA/analysis endpoint.,Not generative.,Content tagging.,Creation.
fal-ai/ffmpeg-api/merge-audios,Audio utilities,,a2a,,billed per GPU compute-second,,follows input audio,—,—,No,No,Yes,"mp3_22050_32, mp3_44100_32, mp3_44100_64, mp3_44100_96, mp3_44100_128, mp3_44100_192, pcm_8000, pcm_16000, pcm_22050, pcm_24000, pcm_44100, pcm_48000, ulaw_8000, alaw_8000, opus_48000_32, opus_48000_64, opus_48000_96, opus_48000_128, opus_48000_192","Deterministic audio ops (ffmpeg, merge, probe).",Not generative.,Pipeline glue.,Creation.
fal-ai/workflow-utilities/audio-compressor,Audio utilities,,a2a,,billed per GPU compute-second,,follows input audio,—,—,No,No,Yes,default,"Deterministic audio ops (ffmpeg, merge, probe).",Not generative.,Pipeline glue.,Creation.
fal-ai/workflow-utilities/impulse-response,Audio utilities,,a2a,,billed per GPU compute-second,,follows input audio,—,—,No,No,Yes,default,"Deterministic audio ops (ffmpeg, merge, probe).",Not generative.,Pipeline glue.,Creation.
