Endpoint,Family,Lab,Type,USD/image @1MP,Price basis,Max MP,Size options,Aspect ratios,Image input?,Mask/inpaint?,LoRA?,Style/ref?,Batch max,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/hunyuan_world,3D/world minis,Tencent,i2i,0.15,$0.15 per image,,fixed,fixed,Yes,No,No,No,1,"Image-to-3D/world experiments (Hunyuan World, Hi3D).",Early tech.,3D asset prototyping.,Production 3D.
hitem3d/hi3d/image-to-relief,3D/world minis,Hitem3D,i2i,0.2,$0.2 per generation,,fixed,fixed,Yes,No,No,No,1,"Image-to-3D/world experiments (Hunyuan World, Hi3D).",Early tech.,3D asset prototyping.,Production 3D.
fal-ai/emu-3.5-image/edit-image,Autoregressive misc,,i2i,0.15,$0.15 (parsed loosely),,"480p, 720p","auto, 21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",Yes,No,No,No,1,"AR-based generators (Infinity, Emu) — different failure modes than diffusion.",Behind diffusion on fidelity.,Research comparisons.,Production.
fal-ai/emu-3.5-image/text-to-image,Autoregressive misc,,t2i,0.15,$0.15 (parsed loosely),,"480p, 720p","21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",No,No,No,No,1,"AR-based generators (Infinity, Emu) — different failure modes than diffusion.",Behind diffusion on fidelity.,Research comparisons.,Production.
fal-ai/birefnet,Background removal,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Specialist cutout models (BiRefNet, RMBG, Bria) — clean edges at scale.",Single task.,"E-commerce cutouts, batch compositing prep.",Anything else.
fal-ai/birefnet/v2,Background removal,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Specialist cutout models (BiRefNet, RMBG, Bria) — clean edges at scale.",Single task.,"E-commerce cutouts, batch compositing prep.",Anything else.
fal-ai/feynobg,Background removal,feyninc,i2i,0.001,$0.001 per generation,,fixed,fixed,Yes,No,No,No,1,"Specialist cutout models (BiRefNet, RMBG, Bria) — clean edges at scale.",Single task.,"E-commerce cutouts, batch compositing prep.",Anything else.
fal-ai/imageutils/rembg,Background removal,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Specialist cutout models (BiRefNet, RMBG, Bria) — clean edges at scale.",Single task.,"E-commerce cutouts, batch compositing prep.",Anything else.
pixelcut/background-removal,Background removal,Pixelcut,i2i,0.016,$0.016 per image,,fixed,fixed,Yes,No,No,No,1,"Specialist cutout models (BiRefNet, RMBG, Bria) — clean edges at scale.",Single task.,"E-commerce cutouts, batch compositing prep.",Anything else.
smoretalk-ai/rembg-enhance,Background removal,Smoretalk AI,i2i,0.006,$0.006 per generation,,fixed,fixed,Yes,No,No,No,1,"Specialist cutout models (BiRefNet, RMBG, Bria) — clean edges at scale.",Single task.,"E-commerce cutouts, batch compositing prep.",Anything else.
fal-ai/boogu-image,Boogu,,t2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,Niche lab generator.,Unknown quantity.,Evaluation.,Production.
fal-ai/boogu-image/edit,Boogu,,i2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,Niche lab generator.,Unknown quantity.,Evaluation.,Production.
bria/embed-product,Bria,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,No,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
bria/extract-object,Bria,Bria AI,i2i,0.02,$0.02 per image,,fixed,fixed,Yes,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
bria/genfill/v2,Bria,Bria AI,i2i,0.04,$0.04/MP x 1MP,,fixed,fixed,Yes,Yes,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
bria/product-dimensions,Bria,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,No,No,No,Yes,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
bria/replace-background,Bria,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
bria/upscale/creative,Bria,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/background/remove,Bria,Bria AI,i2i,0.018,$0.018 per generation,,fixed,fixed,Yes,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/background/replace,Bria,Bria AI,i2i,0.04,$0.04 per generation,,fixed,fixed,Yes,No,No,No,4,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/eraser,Bria,Bria AI,i2i,0.04,$0.04 per generation,,fixed,fixed,Yes,Yes,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
